OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,COLLINGWOOD POLICE STATION,OPERATIONAL,,ABBOTSFORD,VICTORIA,3067,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.80404328399993,144.99356788500006,,,GAVIC413094178,4 EDDY COURT,1,3067,ABBOTSFORD,0,-37.80404327999997,144.9935678800001
2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ESSENDON,OPERATIONAL,,ABERFELDIE,VICTORIA,3040,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.76323400199993,144.90269100400008,,,GAVIC425470053,9 RUTHERFORD STREET,0,3040,ABERFELDIE,0,-37.76323372999997,144.90269078000006
3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ACHERON FIRE STATION CFA,OPERATIONAL,,ACHERON,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.25294384099993,145.70617929900004,,,GAVIC422169386,29 MCCOLL LANE,1,3714,ACHERON,8,-37.25288784999998,145.7061154800001
4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AIREYS INLET FIRE STATION CFA,OPERATIONAL,,AIREYS INLET,VICTORIA,3231,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.45604735899997,144.10443780000003,,,GAVIC419937927,26 PEARSE ROAD,1,3231,AIREYS INLET,11,-38.45598271999995,144.10435070000005
5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALBERTON WEST FIRE STATION CFA,OPERATIONAL,,ALBERTON WEST,VICTORIA,3971,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.60511582299995,146.58915160900006,,,GAVIC422303407,333 LANES ROAD,0,3971,ALBERTON WEST,9,-38.60519520999998,146.58911666000006
6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALEXANDRA POLICE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.18863455899998,145.70777088900002,,,GAVIC424537965,33 GRANT STREET,1,3714,ALEXANDRA,0,-37.18863454999996,145.70777089000012
7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ALEXANDRA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.18385400099993,145.709923999,,,GAVIC419830193,7 SHAMROCK STREET,1,3714,ALEXANDRA,1,-37.18385397999998,145.7099294400001
8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ALEXANDRA AMBULANCE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.19553763399995,145.71810103300004,,,GAVIC425744480,18 WATTLE STREET,0,3714,ALEXANDRA,105,-37.196019769999964,145.71708855000008
9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALEXANDRA FIRE STATION CFA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.183695661999934,145.7093476970001,,,GAVIC420014576,2 SHAMROCK STREET,1,3714,ALEXANDRA,9,-37.18365062999993,145.70926435
10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES BALLARAT,OPERATIONAL,,ALFREDTON,VICTORIA,3350,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.56505600199995,143.816302005,,BALLARAT APEX CLUB,GAVIC423916462,1 ABATTOIR STREET,1,3350,ALFREDTON,0,-37.56505632999995,143.8163017600001
